CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,FLAG_MOBIL,FLAG_WORK_PHONE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,AGE,IS_EMPLOYED,TYPE
0,0,0,-0.5796609024426633,-0.5961983509324164,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,0,0,Unknown,-0.21767983988774908,1.1936889552194607,0,1
0,0,1,-0.5796609024426633,-0.06568306478752377,Pensioner,Secondary / secondary special,Widow,House / apartment,1,0,0,0,Unknown,-1.3145635887181122,1.8018422205622313,0,1
0,0,0,-0.5796609024426633,-0.7288271724686395,Working,Incomplete higher,Married,With parents,1,0,0,0,Sales staff,-0.21767983988774908,-1.4126821819638418,1,1
0,0,1,2.1144616779183996,-1.17092324425605,Working,Secondary / secondary special,Separated,House / apartment,1,1,0,0,Sales staff,0.879203908942614,-0.5438918029027409,1,1
1,0,0,2.1144616779183996,0.15536497110618144,Working,Lower secondary,Married,House / apartment,1,1,0,0,Laborers,1.9760876577729771,-0.5438918029027409,1,1
0,0,1,-0.5796609024426633,-0.7288271724686395,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Laborers,-0.21767983988774908,0.6724147277828003,1,1
1,0,0,-0.5796609024426633,-0.06568306478752377,State servant,Secondary / secondary special,Married,House / apartment,1,1,0,0,Core staff,-0.21767983988774908,-0.37013372709052067,1,1
1,1,0,-0.5796609024426633,0.37641300699988667,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Laborers,-0.21767983988774908,-1.586440257776062,1,1
0,1,1,-0.5796609024426633,1.702701222362118,Working,Higher education,Married,House / apartment,1,0,1,0,Unknown,-0.21767983988774908,0.41177761406447005,1,1
1,0,1,-0.5796609024426633,2.1447972941495284,Commercial associate,Higher education,Married,House / apartment,1,0,1,0,Drivers,-0.21767983988774908,0.06426146244002974,1,1
0,0,0,2.1144616779183996,0.06694575674869936,Working,Higher education,Married,With parents,1,1,1,0,Unknown,1.9760876577729771,-0.1963756512783005,1,1
1,1,1,-0.5796609024426633,0.5974610428935919,State servant,Higher education,Single / not married,House / apartment,1,1,1,0,High skill tech staff,-1.3145635887181122,-1.4126821819638418,1,1
0,1,1,-0.5796609024426633,-0.8614559940048626,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,0,0,Unknown,-0.21767983988774908,1.1936889552194607,0,1
0,1,1,-0.5796609024426633,-0.5077791365749342,Working,Lower secondary,Married,House / apartment,1,0,1,0,High skill tech staff,-0.21767983988774908,0.06426146244002974,1,1
0,1,0,0.767400387737868,-0.7730367796473805,Commercial associate,Higher education,Single / not married,House / apartment,1,1,0,0,Sales staff,0.879203908942614,0.06426146244002974,1,1
0,1,0,-0.5796609024426633,-0.5077791365749342,Working,Secondary / secondary special,Married,House / apartment,1,1,1,0,Managers,-0.21767983988774908,1.1068099173133508,1,1
0,1,0,-0.5796609024426633,-0.5077791365749342,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,0,Core staff,-0.21767983988774908,-1.3258031440577316,1,1
1,1,0,0.767400387737868,0.8185090787872972,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,1,0,0,0,Unknown,0.879203908942614,-0.5438918029027409,1,1
0,0,0,-0.5796609024426633,-0.06568306478752377,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,1,1,1,0,Unknown,-0.21767983988774908,1.1068099173133508,1,1
0,0,0,-0.5796609024426633,-0.9056656011836036,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,0,0,Unknown,-0.21767983988774908,1.5412051068439012,0,1
0,0,0,0.767400387737868,-0.06568306478752377,Working,Secondary / secondary special,Married,With parents,1,0,0,0,Unknown,0.879203908942614,-1.2389241061516214,1,1
1,1,1,-0.5796609024426633,-0.7288271724686395,Working,Secondary / secondary special,Single / not married,House / apartment,1,0,0,0,Unknown,-1.3145635887181122,-1.4126821819638418,1,1
0,0,0,-0.5796609024426633,-0.6846175652898984,Pensioner,Secondary / secondary special,Single / not married,House / apartment,1,0,1,0,Unknown,-1.3145635887181122,1.454326068937791,0,1
0,1,1,0.767400387737868,-0.286731100681229,Working,Secondary / secondary special,Married,House / apartment,1,0,1,1,Sales staff,0.879203908942614,-1.0651660303394013,1,1
1,1,1,2.1144616779183996,-0.06568306478752377,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Drivers,1.9760876577729771,-0.2832546891844106,1,1
0,0,1,-0.5796609024426633,1.9237492582558233,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Secretaries,-0.21767983988774908,0.32489857615836,1,1
0,0,0,0.767400387737868,0.15536497110618144,Commercial associate,Secondary / secondary special,Separated,House / apartment,1,0,0,0,Sales staff,-0.21767983988774908,-1.2389241061516214,1,1
0,1,1,0.767400387737868,0.37641300699988667,Working,Higher education,Separated,House / apartment,1,0,0,0,Core staff,-0.21767983988774908,-0.2832546891844106,1,1
0,0,1,-0.5796609024426633,0.8185090787872972,Working,Higher education,Widow,House / apartment,1,0,0,1,Managers,-1.3145635887181122,0.7592937656889104,1,1
1,0,0,-0.5796609024426633,-0.286731100681229,Commercial associate,Higher education,Married,House / apartment,1,1,0,0,Managers,-0.21767983988774908,-0.10949661337219042,1,1
0,0,1,-0.5796609024426633,-0.5519887437536752,Pensioner,Higher education,Civil marriage,House / apartment,1,0,0,0,Unknown,-0.21767983988774908,1.280567993125571,0,1
0,1,0,0.767400387737868,0.37641300699988667,Working,Higher education,Civil marriage,House / apartment,1,1,1,0,Core staff,0.879203908942614,-0.5438918029027409,1,1
0,0,0,-0.5796609024426633,-0.7288271724686395,Working,Secondary / secondary special,Civil marriage,House / apartment,1,1,0,0,Accountants,-0.21767983988774908,-0.022617575466080342,1,1
0,0,1,-0.5796609024426633,-0.286731100681229,State servant,Incomplete higher,Civil marriage,House / apartment,1,0,0,0,Core staff,-0.21767983988774908,-1.3258031440577316,1,1
0,0,1,-0.5796609024426633,-0.7288271724686395,Working,Incomplete higher,Married,House / apartment,1,0,0,0,Laborers,-0.21767983988774908,0.41177761406447005,1,1
1,1,1,-0.5796609024426633,0.15536497110618144,Working,Secondary / secondary special,Married,House / apartment,1,1,1,0,Drivers,-0.21767983988774908,0.06426146244002974,1,1
0,0,0,-0.5796609024426633,0.15536497110618144,Working,Secondary / secondary special,Married,With parents,1,1,1,0,Managers,-0.21767983988774908,-0.717649878714961,1,1
1,1,1,3.461522968098931,-1.0382944227198267,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Laborers,3.0729714066033402,-0.8045289166210711,1,1
0,0,1,-0.5796609024426633,0.15536497110618144,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Laborers,-0.21767983988774908,1.0199308794072406,1,1
1,0,0,-0.5796609024426633,-0.5077791365749342,Working,Higher education,Single / not married,With parents,1,0,1,0,Laborers,-1.3145635887181122,-1.0651660303394013,1,1
0,0,1,-0.5796609024426633,-1.0382944227198267,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,1,0,Unknown,-0.21767983988774908,1.280567993125571,0,1
0,0,1,0.767400387737868,-0.286731100681229,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Unknown,0.879203908942614,-0.6307708408088509,1,1
0,0,1,0.767400387737868,-0.8614559940048626,Commercial associate,Secondary / secondary special,Married,House / apartment,1,1,1,0,Laborers,0.879203908942614,-0.2832546891844106,1,1
0,0,0,-0.5796609024426633,1.4816531864684128,Commercial associate,Secondary / secondary special,Married,Rented apartment,1,1,0,0,Managers,-0.21767983988774908,0.4986566519705802,1,1
0,0,1,0.767400387737868,1.3490243649321896,State servant,Higher education,Married,House / apartment,1,0,0,0,Managers,0.879203908942614,-0.6307708408088509,1,1
0,1,1,-0.5796609024426633,-0.06568306478752377,State servant,Secondary / secondary special,Married,House / apartment,1,0,0,0,Medicine staff,-0.21767983988774908,1.1068099173133508,1,1
0,0,0,-0.5796609024426633,-1.391971280149755,State servant,Secondary / secondary special,Married,House / apartment,1,1,1,0,Core staff,-0.21767983988774908,0.5855356898766902,1,1
0,0,1,-0.5796609024426633,-0.7288271724686395,Working,Lower secondary,Civil marriage,Municipal apartment,1,0,0,0,Cleaning staff,-0.21767983988774908,-0.8914079545271811,1,1
0,1,0,-0.5796609024426633,1.9237492582558233,Working,Higher education,Married,House / apartment,1,1,1,0,Unknown,-0.21767983988774908,-0.10949661337219042,1,1
1,0,1,-0.5796609024426633,0.8185090787872972,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,1,0,0,0,Laborers,-1.3145635887181122,-0.2832546891844106,1,1
0,0,1,-0.5796609024426633,-0.286731100681229,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Unknown,-0.21767983988774908,0.9330518415011306,1,1
0,0,1,-0.5796609024426633,-1.0382944227198267,Working,Secondary / secondary special,Married,House / apartment,1,1,1,0,Sales staff,-0.21767983988774908,0.7592937656889104,1,1
0,1,1,-0.5796609024426633,-0.06568306478752377,State servant,Secondary / secondary special,Married,House / apartment,1,0,0,0,Medicine staff,-0.21767983988774908,1.1068099173133508,1,1
1,0,1,-0.5796609024426633,-0.06568306478752377,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,0,Laborers,-0.21767983988774908,-1.3258031440577316,1,1
1,1,0,-0.5796609024426633,-0.3751503150387111,Working,Secondary / secondary special,Married,House / apartment,1,0,1,0,Laborers,-0.21767983988774908,0.6724147277828003,1,1
1,1,1,2.1144616779183996,-0.286731100681229,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Drivers,1.9760876577729771,-0.1963756512783005,1,1
0,0,1,0.767400387737868,-0.5077791365749342,Working,Higher education,Married,House / apartment,1,0,0,0,Unknown,0.879203908942614,-0.6307708408088509,1,1
0,0,0,-0.5796609024426633,-0.7288271724686395,Working,Secondary / secondary special,Married,With parents,1,1,1,0,Unknown,-0.21767983988774908,-1.4126821819638418,1,1
0,0,1,0.767400387737868,-0.6846175652898984,Working,Higher education,Married,House / apartment,1,1,0,0,Cleaning staff,0.879203908942614,0.7592937656889104,1,1
1,1,1,-0.5796609024426633,1.2606051505747076,Working,Secondary / secondary special,Civil marriage,House / apartment,1,0,0,0,Sales staff,-0.21767983988774908,-1.3258031440577316,1,1
1,0,1,-0.5796609024426633,-0.06568306478752377,Working,Secondary / secondary special,Married,House / apartment,1,1,0,0,Laborers,-0.21767983988774908,0.06426146244002974,1,1
1,0,1,0.767400387737868,1.9237492582558233,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Unknown,0.879203908942614,-0.717649878714961,1,1
1,0,1,-0.5796609024426633,0.37641300699988667,Commercial associate,Higher education,Single / not married,House / apartment,1,0,0,0,Sales staff,-1.3145635887181122,-1.4126821819638418,1,1
1,0,0,2.1144616779183996,-0.06568306478752377,Working,Secondary / secondary special,Married,House / apartment,1,0,0,1,Laborers,1.9760876577729771,-1.4126821819638418,1,1
0,0,1,-0.5796609024426633,-0.7288271724686395,Working,Secondary / secondary special,Married,House / apartment,1,0,1,0,Unknown,-0.21767983988774908,0.23801953825224992,1,1
0,1,1,0.767400387737868,-0.7288271724686395,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,0,Core staff,0.879203908942614,-0.1963756512783005,1,1
1,1,0,2.1144616779183996,0.37641300699988667,Working,Secondary / secondary special,Married,House / apartment,1,1,0,0,Managers,1.9760876577729771,-0.45701276499663074,1,1
1,1,0,-0.5796609024426633,-0.5077791365749342,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Drivers,-0.21767983988774908,-0.8914079545271811,1,1
0,0,0,-0.5796609024426633,1.6142820080046358,Commercial associate,Higher education,Married,House / apartment,1,0,1,0,Unknown,-0.21767983988774908,1.367447031031681,1,1
0,0,1,-0.5796609024426633,0.2879937926424046,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,1,0,0,0,Unknown,-0.21767983988774908,1.6280841447500112,0,1
0,0,1,0.767400387737868,-0.06568306478752377,Commercial associate,Higher education,Civil marriage,With parents,1,0,0,1,HR staff,0.879203908942614,-1.0651660303394013,1,1
0,1,0,-0.5796609024426633,1.702701222362118,State servant,Secondary / secondary special,Married,House / apartment,1,1,1,0,Medicine staff,-0.21767983988774908,0.5855356898766902,1,1
1,0,1,-0.5796609024426633,-0.7288271724686395,Working,Secondary / secondary special,Civil marriage,House / apartment,1,0,0,0,Security staff,-0.21767983988774908,0.41177761406447005,1,1
0,1,1,-0.5796609024426633,-0.24252149350248794,Working,Higher education,Separated,House / apartment,1,1,1,0,Accountants,-1.3145635887181122,-0.10949661337219042,1,1
1,0,1,0.767400387737868,-0.5077791365749342,Working,Secondary / secondary special,Civil marriage,House / apartment,1,0,0,0,Unknown,0.879203908942614,-0.6307708408088509,1,1
0,1,1,-0.5796609024426633,0.5974610428935919,Working,Higher education,Married,House / apartment,1,0,1,0,Core staff,-0.21767983988774908,-0.45701276499663074,1,1
0,1,1,-0.5796609024426633,0.37641300699988667,Working,Higher education,Married,House / apartment,1,1,0,0,Unknown,-0.21767983988774908,-0.9782869924332913,1,1
0,0,1,-0.5796609024426633,-0.5961983509324164,Working,Higher education,Married,House / apartment,1,0,1,1,Core staff,-0.21767983988774908,-1.4126821819638418,1,1
0,0,1,-0.5796609024426633,-0.7288271724686395,Pensioner,Secondary / secondary special,Widow,House / apartment,1,0,0,0,Unknown,-1.3145635887181122,1.6280841447500112,0,1
0,1,0,4.8085842582794625,0.15536497110618144,State servant,Secondary / secondary special,Married,House / apartment,1,1,0,0,Core staff,4.169855155433703,-0.37013372709052067,1,1
0,1,0,-0.5796609024426633,1.4816531864684128,Working,Secondary / secondary special,Single / not married,House / apartment,1,1,0,1,Unknown,-1.3145635887181122,-1.4995612198699517,1,1
0,0,1,2.1144616779183996,-1.2372376550241615,Commercial associate,Higher education,Married,House / apartment,1,1,1,0,Core staff,1.9760876577729771,-1.2389241061516214,1,1
0,0,1,0.767400387737868,-0.286731100681229,State servant,Secondary / secondary special,Married,House / apartment,1,0,0,0,Managers,0.879203908942614,0.15114050034613982,1,1
0,1,1,-0.5796609024426633,-0.5077791365749342,Working,Secondary / secondary special,Civil marriage,House / apartment,1,0,0,0,Laborers,-0.21767983988774908,0.15114050034613982,1,1
0,0,1,0.767400387737868,-0.7288271724686395,State servant,Secondary / secondary special,Married,House / apartment,1,0,0,0,Core staff,0.879203908942614,0.4986566519705802,1,1
1,0,1,-0.5796609024426633,-0.5077791365749342,Working,Higher education,Married,With parents,1,1,1,0,Unknown,-0.21767983988774908,-0.2832546891844106,1,1
1,1,1,-0.5796609024426633,-0.06568306478752377,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,1,0,0,0,Drivers,-1.3145635887181122,1.0199308794072406,1,1
1,1,1,-0.5796609024426633,0.37641300699988667,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Laborers,-0.21767983988774908,-1.2389241061516214,1,1
1,0,1,-0.5796609024426633,0.15536497110618144,Working,Secondary / secondary special,Civil marriage,House / apartment,1,0,0,0,Drivers,-0.21767983988774908,-1.2389241061516214,1,1
1,1,1,-0.5796609024426633,0.5974610428935919,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Managers,-0.21767983988774908,-0.45701276499663074,1,1
1,1,1,-0.5796609024426633,-0.7288271724686395,Pensioner,Higher education,Married,House / apartment,1,0,0,0,Unknown,-0.21767983988774908,1.8018422205622313,0,1
0,0,1,-0.5796609024426633,-0.8172463868261215,Pensioner,Secondary / secondary special,Widow,House / apartment,1,0,1,0,Unknown,-1.3145635887181122,1.9756002963744517,0,1
0,1,0,-0.5796609024426633,-0.4193599222174521,Working,Higher education,Married,House / apartment,1,1,1,0,Managers,-0.21767983988774908,0.8461728035950205,1,1
0,0,0,-0.5796609024426633,-0.9498752083623446,Commercial associate,Secondary / secondary special,Married,House / apartment,1,1,1,0,Laborers,-0.21767983988774908,0.41177761406447005,1,1
1,1,1,-0.5796609024426633,0.8185090787872972,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Laborers,-0.21767983988774908,-0.37013372709052067,1,1
0,0,1,-0.5796609024426633,-0.1894699648879987,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,0,0,Unknown,-0.21767983988774908,0.7592937656889104,0,1
0,0,1,-0.5796609024426633,-0.8172463868261215,Pensioner,Secondary / secondary special,Widow,House / apartment,1,0,1,0,Unknown,-1.3145635887181122,1.9756002963744517,0,1
0,0,1,2.1144616779183996,-0.5077791365749342,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Security staff,1.9760876577729771,-0.717649878714961,1,1
0,0,1,-0.5796609024426633,-0.286731100681229,Working,Higher education,Married,House / apartment,1,0,0,1,Core staff,-0.21767983988774908,0.23801953825224992,1,1
1,0,1,-0.5796609024426633,0.8185090787872972,Working,Secondary / secondary special,Civil marriage,House / apartment,1,0,0,0,Drivers,-0.21767983988774908,0.06426146244002974,1,1
1,1,1,-0.5796609024426633,1.702701222362118,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,0,0,Unknown,-0.21767983988774908,-0.45701276499663074,0,1
0,0,0,-0.5796609024426633,-0.7288271724686395,Working,Secondary / secondary special,Single / not married,House / apartment,1,1,1,0,Core staff,-1.3145635887181122,-0.45701276499663074,1,1
0,0,1,0.767400387737868,-0.7288271724686395,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,0,Unknown,0.879203908942614,-0.717649878714961,1,1
0,0,0,-0.5796609024426633,-0.15410227914500585,Pensioner,Higher education,Married,House / apartment,1,0,1,0,Unknown,-0.21767983988774908,1.1068099173133508,0,1
1,1,0,-0.5796609024426633,2.6753125802944213,Commercial associate,Secondary / secondary special,Married,House / apartment,1,1,1,0,Drivers,-0.21767983988774908,-0.022617575466080342,1,1
1,1,1,-0.5796609024426633,0.5974610428935919,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Managers,-0.21767983988774908,-0.45701276499663074,1,1
1,1,0,0.767400387737868,1.2606051505747076,State servant,Secondary / secondary special,Married,House / apartment,1,0,0,1,High skill tech staff,0.879203908942614,-0.6307708408088509,1,1
0,0,1,3.461522968098931,-0.06568306478752377,State servant,Higher education,Married,House / apartment,1,0,0,0,Core staff,3.0729714066033402,-0.022617575466080342,1,1
1,1,1,-0.5796609024426633,0.8185090787872972,Working,Higher education,Married,House / apartment,1,0,0,0,Laborers,-0.21767983988774908,0.9330518415011306,1,1
1,0,0,-0.5796609024426633,-0.06568306478752377,Working,Secondary / secondary special,Married,House / apartment,1,1,0,0,Laborers,-0.21767983988774908,0.32489857615836,1,1
0,1,1,-0.5796609024426633,-0.06568306478752377,Commercial associate,Higher education,Married,House / apartment,1,0,0,0,Core staff,-0.21767983988774908,1.0199308794072406,1,1
0,1,1,-0.5796609024426633,1.702701222362118,Commercial associate,Secondary / secondary special,Married,Municipal apartment,1,0,0,0,Accountants,-0.21767983988774908,0.15114050034613982,1,1
0,0,1,0.767400387737868,0.11115536392744041,Working,Secondary / secondary special,Single / not married,House / apartment,1,1,1,0,Private service staff,-0.21767983988774908,0.5855356898766902,1,1
0,0,0,-0.5796609024426633,-0.7288271724686395,Working,Secondary / secondary special,Married,House / apartment,1,1,1,0,Accountants,-0.21767983988774908,-0.2832546891844106,1,1
1,0,1,0.767400387737868,-0.5077791365749342,Working,Secondary / secondary special,Married,House / apartment,1,1,1,0,Laborers,0.879203908942614,0.6724147277828003,1,1
0,0,1,0.767400387737868,-0.5077791365749342,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,1,0,0,0,Laborers,-0.21767983988774908,-0.37013372709052067,1,1
0,0,1,-0.5796609024426633,4.355277653086581,Pensioner,Secondary / secondary special,Single / not married,House / apartment,1,0,1,0,Unknown,-1.3145635887181122,1.454326068937791,0,1
1,0,0,-0.5796609024426633,-0.286731100681229,Commercial associate,Incomplete higher,Single / not married,House / apartment,1,0,1,0,Unknown,-1.3145635887181122,-1.4995612198699517,1,1
1,0,0,-0.5796609024426633,0.37641300699988667,Working,Secondary / secondary special,Single / not married,House / apartment,1,0,0,0,High skill tech staff,-1.3145635887181122,-0.1963756512783005,1,1
0,0,1,-0.5796609024426633,0.8185090787872972,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,1,0,Unknown,-0.21767983988774908,1.280567993125571,0,1
1,1,1,2.1144616779183996,-0.06568306478752377,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Drivers,1.9760876577729771,-0.37013372709052067,1,1
1,1,1,-0.5796609024426633,2.5868933659369393,Working,Higher education,Married,House / apartment,1,0,1,0,Managers,-0.21767983988774908,0.7592937656889104,1,1
0,0,1,-0.5796609024426633,-0.9498752083623446,State servant,Secondary / secondary special,Separated,House / apartment,1,0,0,0,Unknown,-1.3145635887181122,-0.37013372709052067,1,1
0,0,1,-0.5796609024426633,-1.17092324425605,Pensioner,Secondary / secondary special,Single / not married,House / apartment,1,0,0,0,Unknown,-1.3145635887181122,1.9756002963744517,0,1
0,0,0,-0.5796609024426633,0.15536497110618144,Working,Secondary / secondary special,Single / not married,House / apartment,1,0,0,0,Sales staff,-1.3145635887181122,-0.5438918029027409,1,1
1,0,1,-0.5796609024426633,-0.06568306478752377,Working,Higher education,Single / not married,House / apartment,1,0,0,0,Laborers,-1.3145635887181122,-1.586440257776062,1,1
0,0,1,-0.5796609024426633,-0.10989267196626482,Commercial associate,Higher education,Married,House / apartment,1,1,1,0,Managers,-0.21767983988774908,-0.1963756512783005,1,1
0,0,1,-0.5796609024426633,0.15536497110618144,Working,Secondary / secondary special,Single / not married,House / apartment,1,1,1,0,Unknown,-1.3145635887181122,0.06426146244002974,1,1
0,0,1,-0.5796609024426633,-1.0382944227198267,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,0,1,Unknown,-0.21767983988774908,1.367447031031681,0,1
1,1,1,0.767400387737868,0.37641300699988667,State servant,Higher education,Married,House / apartment,1,1,0,0,Unknown,0.879203908942614,-1.0651660303394013,1,1
1,1,1,-0.5796609024426633,-0.06568306478752377,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Laborers,-0.21767983988774908,-0.10949661337219042,1,1
0,0,1,-0.5796609024426633,-1.0825040298985678,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Sales staff,-0.21767983988774908,0.06426146244002974,1,1
0,0,1,-0.5796609024426633,3.47108550951176,Commercial associate,Secondary / secondary special,Separated,House / apartment,1,0,1,0,Unknown,-1.3145635887181122,1.1936889552194607,1,1
1,0,1,-0.5796609024426633,1.9237492582558233,Working,Higher education,Married,House / apartment,1,1,1,0,Laborers,-0.21767983988774908,-1.4126821819638418,1,1
1,1,0,-0.5796609024426633,1.0395571146810023,Working,Higher education,Married,House / apartment,1,0,0,0,Managers,-0.21767983988774908,0.4986566519705802,1,1
1,1,0,-0.5796609024426633,1.702701222362118,Commercial associate,Higher education,Married,House / apartment,1,0,1,0,Managers,-0.21767983988774908,-0.37013372709052067,1,1
1,1,1,0.767400387737868,2.5868933659369393,Working,Higher education,Married,Office apartment,1,0,0,0,Managers,0.879203908942614,0.5855356898766902,1,1
1,1,1,-0.5796609024426633,-0.5077791365749342,Working,Secondary / secondary special,Married,House / apartment,1,0,1,0,Core staff,-0.21767983988774908,0.32489857615836,1,1
1,0,1,2.1144616779183996,-0.06568306478752377,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Laborers,1.9760876577729771,0.23801953825224992,1,1
1,0,1,-0.5796609024426633,0.37641300699988667,Working,Secondary / secondary special,Single / not married,House / apartment,1,0,0,0,Laborers,-1.3145635887181122,-1.3258031440577316,1,1
1,1,0,-0.5796609024426633,0.37641300699988667,Working,Higher education,Married,House / apartment,1,1,1,0,Unknown,-0.21767983988774908,0.8461728035950205,1,1
0,0,0,-0.5796609024426633,0.15536497110618144,Working,Secondary / secondary special,Single / not married,Office apartment,1,1,1,0,Unknown,-1.3145635887181122,-1.3258031440577316,1,1
0,0,1,-0.5796609024426633,-0.7288271724686395,Pensioner,Lower secondary,Married,House / apartment,1,0,0,0,Unknown,-0.21767983988774908,2.1493583721866716,0,1
1,0,1,0.767400387737868,-0.06568306478752377,Commercial associate,Secondary / secondary special,Married,Municipal apartment,1,0,0,0,High skill tech staff,0.879203908942614,-0.8045289166210711,1,1
0,0,1,0.767400387737868,-0.3751503150387111,Working,Incomplete higher,Separated,House / apartment,1,0,0,0,Unknown,-0.21767983988774908,-0.8914079545271811,1,1
0,0,1,3.461522968098931,-1.17092324425605,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Core staff,3.0729714066033402,-0.9782869924332913,1,1
1,1,1,-0.5796609024426633,-0.7288271724686395,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Laborers,-0.21767983988774908,0.6724147277828003,1,1
0,0,1,-0.5796609024426633,-0.06568306478752377,Working,Higher education,Widow,House / apartment,1,0,0,0,Secretaries,-1.3145635887181122,1.7149631826561214,1,1
1,1,1,-0.5796609024426633,-0.5077791365749342,Working,Lower secondary,Married,With parents,1,0,0,1,Laborers,-0.21767983988774908,-1.4126821819638418,1,1
0,1,1,0.767400387737868,-0.06568306478752377,Commercial associate,Higher education,Separated,House / apartment,1,0,0,0,Core staff,-0.21767983988774908,0.5855356898766902,1,1
0,1,0,-0.5796609024426633,1.4816531864684128,Commercial associate,Higher education,Married,House / apartment,1,1,1,0,Unknown,-0.21767983988774908,-0.717649878714961,1,1
0,1,0,2.1144616779183996,-0.06568306478752377,Working,Higher education,Married,House / apartment,1,0,0,0,Managers,1.9760876577729771,-0.8045289166210711,1,1
0,0,0,-0.5796609024426633,-0.06568306478752377,Working,Higher education,Widow,House / apartment,1,1,1,0,Sales staff,-1.3145635887181122,0.7592937656889104,1,1
1,0,1,0.767400387737868,-0.286731100681229,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Sales staff,0.879203908942614,-0.8045289166210711,1,1
0,0,1,-0.5796609024426633,-0.6404079581111574,Commercial associate,Higher education,Civil marriage,House / apartment,1,0,0,0,Accountants,-0.21767983988774908,-1.1520450682455114,1,1
0,0,0,-0.5796609024426633,0.8185090787872972,State servant,Higher education,Married,House / apartment,1,0,1,0,Accountants,-0.21767983988774908,-1.0651660303394013,1,1
0,0,1,0.767400387737868,-1.17092324425605,Working,Secondary / secondary special,Married,Rented apartment,1,0,0,1,Laborers,0.879203908942614,-0.37013372709052067,1,1
0,0,0,-0.5796609024426633,-0.9498752083623446,Working,Higher education,Separated,House / apartment,1,0,0,0,Core staff,-1.3145635887181122,1.367447031031681,1,1
0,0,1,-0.5796609024426633,-0.5077791365749342,Commercial associate,Higher education,Single / not married,House / apartment,1,0,0,0,Sales staff,-1.3145635887181122,-1.0651660303394013,1,1
0,0,1,-0.5796609024426633,0.37641300699988667,Commercial associate,Incomplete higher,Civil marriage,House / apartment,1,0,1,0,Sales staff,-0.21767983988774908,-1.760198333588282,1,1
1,1,1,2.1144616779183996,0.8185090787872972,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Laborers,1.9760876577729771,-0.6307708408088509,1,1
1,1,1,-0.5796609024426633,-0.5077791365749342,Working,Secondary / secondary special,Married,With parents,1,0,0,0,Core staff,-0.21767983988774908,0.06426146244002974,1,1
0,1,1,-0.5796609024426633,-0.5077791365749342,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,0,0,Unknown,-0.21767983988774908,1.6280841447500112,0,1
0,0,1,0.767400387737868,-1.17092324425605,Working,Secondary / secondary special,Separated,House / apartment,1,1,1,0,Accountants,-0.21767983988774908,-1.1520450682455114,1,1
